Tournament;,2013-11-01 10:00:27,2013-11-01 19:01:21,10,32400,32.528832,-124.482003,small_red
Weather;,2013-11-01 02:09:21,2013-11-01 23:09:21,13,8464,37.70813196,-122.51368188,small_red
accident;,2013-11-01 01:18:10,2013-11-01 22:09:40,10,8380,37.632226,-122.35588100000001,small_red
blocked;,2013-11-01 01:11:09,2013-11-01 23:50:19,11,5889,37.604053,-122.47281699999999,small_red
concert;,2013-11-01 00:26:09,2013-11-01 23:50:00,23,5796,37.566037,-122.515326,small_red
football game;,2013-11-01 11:03:13,2013-11-01 23:43:41,16,5768,37.512249,-122.35505,small_red
incident;,2013-11-01 12:50:10,2013-11-01 21:04:52,11,8400,37.664485,-122.426497,small_red
parade;,2013-11-01 00:59:07,2013-11-01 19:04:10,16,18591,37.678926000000004,-122.130925,small_red
rain;,2013-11-01 00:18:21,2013-11-01 21:18:37,16,5889,37.604053,-122.47281699999999,small_red
shooting;,2013-11-01 00:34:47,2013-11-01 23:53:31,72,5768,37.512249,-122.35505,small_red
traffic;,2013-11-01 10:34:00,2013-11-01 23:32:48,24,8245,37.633916,-122.471883,small_red
weather;,2013-11-01 01:26:51,2013-11-01 23:42:27,27,8380,37.632226,-122.35588100000001,small_red
Festival;,2013-11-02 01:13:57,2013-11-02 21:24:19,20,8380,37.632226,-122.35588100000001,small_red
Tournament;,2013-11-02 10:00:28,2013-11-02 20:29:10,12,8464,37.70813196,-122.51368188,small_red
concert;,2013-11-02 01:59:58,2013-11-02 23:42:32,34,5933,37.568104999999996,-122.403618,small_red
festival;,2013-11-02 02:40:20,2013-11-03 00:09:37,11,8380,37.632226,-122.35588100000001,small_red
shooting;,2013-11-02 01:01:29,2013-11-03 00:00:02,13,5796,37.566037,-122.515326,small_red
traffic;,2013-11-02 13:35:25,2013-11-02 22:15:04,12,8380,37.632226,-122.35588100000001,small_red
weather;,2013-11-02 02:05:38,2013-11-02 20:24:56,28,8227,37.64917,-122.50079099999999,small_red
Marathon;,2013-11-03 08:30:07,2013-11-03 19:06:51,10,5768,37.512249,-122.35505,small_red
Tournament;,2013-11-03 10:00:36,2013-11-03 20:00:24,13,8467,37.71123201,-122.50248300000001,small_red
blocked;,2013-11-03 01:33:53,2013-11-04 00:04:02,16,8464,37.70813196,-122.51368188,small_red
concert;,2013-11-03 00:27:00,2013-11-04 00:09:55,32,5768,37.512249,-122.35505,small_red
marathon;,2013-11-03 01:43:43,2013-11-04 00:03:14,16,8464,37.70813196,-122.51368188,small_red
rain;,2013-11-03 00:45:40,2013-11-04 00:01:08,20,5889,37.604053,-122.47281699999999,small_red
shooting;,2013-11-03 00:43:33,2013-11-03 22:46:17,11,8464,37.70813196,-122.51368188,small_red
traffic;,2013-11-03 13:03:42,2013-11-03 21:43:06,11,1107,37.053858,-122.588177,small_red
